this one came after the 104 epochs, full dataset,  but includes the weights per node for the lambda

epoch 50   train loss: 1.6513  acc: 0.9870   val loss: 3.8606  acc: 0.3805   test loss: 3.8796  acc: 0.3759
epoch 51   train loss: 1.6469  acc: 0.9860   val loss: 3.8563  acc: 0.3789   test loss: 3.8752  acc: 0.3759
epoch 52   train loss: 1.6426  acc: 0.9865   val loss: 3.8533  acc: 0.3789   test loss: 3.8721  acc: 0.3714
epoch 53   train loss: 1.6398  acc: 0.9865   val loss: 3.8509  acc: 0.3805   test loss: 3.8697  acc: 0.3714
epoch 54   train loss: 1.6368  acc: 0.9875   val loss: 3.8491  acc: 0.3789   test loss: 3.8678  acc: 0.3714
epoch 55   train loss: 1.6338  acc: 0.9875   val loss: 3.8474  acc: 0.3789   test loss: 3.8661  acc: 0.3744
epoch 56   train loss: 1.6308  acc: 0.9870   val loss: 3.8452  acc: 0.3789   test loss: 3.8639  acc: 0.3729
epoch 57   train loss: 1.6277  acc: 0.9875   val loss: 3.8426  acc: 0.3789   test loss: 3.8614  acc: 0.3714
epoch 58   train loss: 1.6251  acc: 0.9875   val loss: 3.8396  acc: 0.3774   test loss: 3.8585  acc: 0.3729
epoch 59   train loss: 1.6224  acc: 0.9880   val loss: 3.8368  acc: 0.3805   test loss: 3.8557  acc: 0.3699
epoch 60   train loss: 1.6197  acc: 0.9880   val loss: 3.8347  acc: 0.3805   test loss: 3.8536  acc: 0.3699
epoch 61   train loss: 1.6181  acc: 0.9885   val loss: 3.8333  acc: 0.3835   test loss: 3.8522  acc: 0.3684
epoch 62   train loss: 1.6164  acc: 0.9885   val loss: 3.8325  acc: 0.3820   test loss: 3.8513  acc: 0.3699
epoch 63   train loss: 1.6141  acc: 0.9885   val loss: 3.8319  acc: 0.3805   test loss: 3.8506  acc: 0.3714
epoch 64   train loss: 1.6129  acc: 0.9885   val loss: 3.8309  acc: 0.3805   test loss: 3.8496  acc: 0.3699
epoch 65   train loss: 1.6117  acc: 0.9885   val loss: 3.8299  acc: 0.3789   test loss: 3.8486  acc: 0.3729
epoch 66   train loss: 1.6102  acc: 0.9885   val loss: 3.8285  acc: 0.3774   test loss: 3.8472  acc: 0.3714
epoch 67   train loss: 1.6089  acc: 0.9885   val loss: 3.8271  acc: 0.3805   test loss: 3.8459  acc: 0.3699
