epoch 0   train loss: 3.7543  acc: 0.2223   val loss: 4.1838  acc: 0.1744   test loss: 4.1986  acc: 0.1594
epoch 1   train loss: 4.1209  acc: 0.1177   val loss: 3.8291  acc: 0.1368   test loss: 3.8464  acc: 0.1278
epoch 2   train loss: 3.7140  acc: 0.2954   val loss: 3.9648  acc: 0.1549   test loss: 3.9843  acc: 0.1504
epoch 3   train loss: 3.8094  acc: 0.2949   val loss: 4.1212  acc: 0.1624   test loss: 4.1410  acc: 0.1534
epoch 4   train loss: 3.9032  acc: 0.3015   val loss: 4.0585  acc: 0.1549   test loss: 4.0770  acc: 0.1504
epoch 5   train loss: 3.7427  acc: 0.2929   val loss: 3.9862  acc: 0.1549   test loss: 4.0028  acc: 0.1549
epoch 6   train loss: 3.5580  acc: 0.2919   val loss: 4.0246  acc: 0.1293   test loss: 4.0402  acc: 0.1293
epoch 7   train loss: 3.5007  acc: 0.2919   val loss: 4.1423  acc: 0.1293   test loss: 4.1591  acc: 0.1278
epoch 8   train loss: 3.5084  acc: 0.2919   val loss: 4.2049  acc: 0.1293   test loss: 4.2230  acc: 0.1278
epoch 9   train loss: 3.4855  acc: 0.2964   val loss: 4.1645  acc: 0.1338   test loss: 4.1832  acc: 0.1263
epoch 10   train loss: 3.4155  acc: 0.3060   val loss: 4.0906  acc: 0.1759   test loss: 4.1097  acc: 0.1564
epoch 11   train loss: 3.3254  acc: 0.4256   val loss: 4.0636  acc: 0.2211   test loss: 4.0827  acc: 0.2226
epoch 12   train loss: 3.2669  acc: 0.4527   val loss: 4.0949  acc: 0.2241   test loss: 4.1130  acc: 0.2286
epoch 13   train loss: 3.2463  acc: 0.4617   val loss: 4.1374  acc: 0.2256   test loss: 4.1535  acc: 0.2286
epoch 14   train loss: 3.2176  acc: 0.4617   val loss: 4.1545  acc: 0.2286   test loss: 4.1685  acc: 0.2316
epoch 15   train loss: 3.1549  acc: 0.4637   val loss: 4.1567  acc: 0.2737   test loss: 4.1695  acc: 0.2752
epoch 16   train loss: 3.0791  acc: 0.5914   val loss: 4.1755  acc: 0.2932   test loss: 4.1894  acc: 0.2977
epoch 17   train loss: 3.0148  acc: 0.6134   val loss: 4.2251  acc: 0.2872   test loss: 4.2419  acc: 0.2932
epoch 18   train loss: 2.9789  acc: 0.6540   val loss: 4.2767  acc: 0.3308   test loss: 4.2967  acc: 0.3293
epoch 19   train loss: 2.9647  acc: 0.7481   val loss: 4.2930  acc: 0.3459   test loss: 4.3161  acc: 0.3368
epoch 20   train loss: 2.9438  acc: 0.7661   val loss: 4.2717  acc: 0.3489   test loss: 4.2963  acc: 0.3368
epoch 21   train loss: 2.9082  acc: 0.7762   val loss: 4.2439  acc: 0.3519   test loss: 4.2672  acc: 0.3323
epoch 22   train loss: 2.8699  acc: 0.7837   val loss: 4.2358  acc: 0.3549   test loss: 4.2553  acc: 0.3429
epoch 23   train loss: 2.8463  acc: 0.7842   val loss: 4.2461  acc: 0.3519   test loss: 4.2605  acc: 0.3474
epoch 24   train loss: 2.8340  acc: 0.7872   val loss: 4.2591  acc: 0.3504   test loss: 4.2688  acc: 0.3489
epoch 25   train loss: 2.8223  acc: 0.7917   val loss: 4.2633  acc: 0.3579   test loss: 4.2714  acc: 0.3669
epoch 26   train loss: 2.8034  acc: 0.8237   val loss: 4.2619  acc: 0.3594   test loss: 4.2723  acc: 0.3835
epoch 27   train loss: 2.7807  acc: 0.8783   val loss: 4.2652  acc: 0.3880   test loss: 4.2805  acc: 0.3940
epoch 28   train loss: 2.7628  acc: 0.9069   val loss: 4.2747  acc: 0.3985   test loss: 4.2955  acc: 0.3789
epoch 29   train loss: 2.7522  acc: 0.9239   val loss: 4.2827  acc: 0.4030   test loss: 4.3075  acc: 0.3774
epoch 30   train loss: 2.7433  acc: 0.9334   val loss: 4.2847  acc: 0.4150   test loss: 4.3108  acc: 0.3759
epoch 31   train loss: 2.7329  acc: 0.9359   val loss: 4.2845  acc: 0.4286   test loss: 4.3087  acc: 0.3955
epoch 32   train loss: 2.7196  acc: 0.9399   val loss: 4.2886  acc: 0.4060   test loss: 4.3080  acc: 0.4015
epoch 33   train loss: 2.7089  acc: 0.9429   val loss: 4.2982  acc: 0.4030   test loss: 4.3124  acc: 0.4346
epoch 34   train loss: 2.7018  acc: 0.9429   val loss: 4.3083  acc: 0.3985   test loss: 4.3190  acc: 0.4331
epoch 35   train loss: 2.6967  acc: 0.9469   val loss: 4.3131  acc: 0.4030   test loss: 4.3233  acc: 0.4391
epoch 36   train loss: 2.6912  acc: 0.9524   val loss: 4.3124  acc: 0.3835   test loss: 4.3253  acc: 0.4075
epoch 37   train loss: 2.6846  acc: 0.9524   val loss: 4.3109  acc: 0.4180   test loss: 4.3279  acc: 0.4075
epoch 38   train loss: 2.6787  acc: 0.9539   val loss: 4.3119  acc: 0.3985   test loss: 4.3329  acc: 0.3850
epoch 39   train loss: 2.6746  acc: 0.9579   val loss: 4.3147  acc: 0.4075   test loss: 4.3379  acc: 0.3805
epoch 40   train loss: 2.6718  acc: 0.9584   val loss: 4.3175  acc: 0.4060   test loss: 4.3404  acc: 0.3865
epoch 41   train loss: 2.6689  acc: 0.9609   val loss: 4.3189  acc: 0.4165   test loss: 4.3395  acc: 0.3925
epoch 42   train loss: 2.6656  acc: 0.9609   val loss: 4.3194  acc: 0.3985   test loss: 4.3365  acc: 0.4060
epoch 43   train loss: 2.6624  acc: 0.9634   val loss: 4.3199  acc: 0.4060   test loss: 4.3343  acc: 0.4376
epoch 44   train loss: 2.6598  acc: 0.9629   val loss: 4.3204  acc: 0.4090   test loss: 4.3338  acc: 0.4346
epoch 45   train loss: 2.6577  acc: 0.9649   val loss: 4.3209  acc: 0.3970   test loss: 4.3351  acc: 0.4256
epoch 46   train loss: 2.6555  acc: 0.9644   val loss: 4.3208  acc: 0.4241   test loss: 4.3371  acc: 0.4180
epoch 47   train loss: 2.6529  acc: 0.9659   val loss: 4.3205  acc: 0.4135   test loss: 4.3391  acc: 0.4060
epoch 48   train loss: 2.6505  acc: 0.9664   val loss: 4.3190  acc: 0.4060   test loss: 4.3390  acc: 0.3774
epoch 49   train loss: 2.6483  acc: 0.9664   val loss: 4.3169  acc: 0.3985   test loss: 4.3370  acc: 0.3880
epoch 50   train loss: 2.6464  acc: 0.9670   val loss: 4.3141  acc: 0.4165   test loss: 4.3334  acc: 0.4060
epoch 51   train loss: 2.6442  acc: 0.9664   val loss: 4.3118  acc: 0.3955   test loss: 4.3297  acc: 0.4075
epoch 52   train loss: 2.6420  acc: 0.9659   val loss: 4.3099  acc: 0.4075   test loss: 4.3266  acc: 0.4120
epoch 53   train loss: 2.6397  acc: 0.9670   val loss: 4.3085  acc: 0.4105   test loss: 4.3245  acc: 0.4376
epoch 54   train loss: 2.6378  acc: 0.9685   val loss: 4.3061  acc: 0.3955   test loss: 4.3221  acc: 0.4271
epoch 55   train loss: 2.6363  acc: 0.9695   val loss: 4.3041  acc: 0.4150   test loss: 4.3208  acc: 0.4120
epoch 56   train loss: 2.6350  acc: 0.9664   val loss: 4.3010  acc: 0.4135   test loss: 4.3185  acc: 0.4150
epoch 57   train loss: 2.6338  acc: 0.9680   val loss: 4.2996  acc: 0.3865   test loss: 4.3179  acc: 0.4030
epoch 58   train loss: 2.6324  acc: 0.9659   val loss: 4.2972  acc: 0.4120   test loss: 4.3157  acc: 0.3925
epoch 59   train loss: 2.6310  acc: 0.9680   val loss: 4.2958  acc: 0.4120   test loss: 4.3143  acc: 0.3940
epoch 60   train loss: 2.6294  acc: 0.9659   val loss: 4.2936  acc: 0.4045   test loss: 4.3115  acc: 0.3985
epoch 61   train loss: 2.6284  acc: 0.9659   val loss: 4.2914  acc: 0.4090   test loss: 4.3088  acc: 0.4211
epoch 62   train loss: 2.6278  acc: 0.9670   val loss: 4.2899  acc: 0.4015   test loss: 4.3068  acc: 0.4301
epoch 63   train loss: 2.6274  acc: 0.9659   val loss: 4.2878  acc: 0.3970   test loss: 4.3046  acc: 0.4226
epoch 64   train loss: 2.6270  acc: 0.9680   val loss: 4.2869  acc: 0.4075   test loss: 4.3040  acc: 0.4165
epoch 65   train loss: 2.6261  acc: 0.9659   val loss: 4.2854  acc: 0.4165   test loss: 4.3030  acc: 0.4165
epoch 66   train loss: 2.6254  acc: 0.9664   val loss: 4.2843  acc: 0.3865   test loss: 4.3023  acc: 0.4030
epoch 67   train loss: 2.6252  acc: 0.9670   val loss: 4.2840  acc: 0.4226   test loss: 4.3020  acc: 0.3820
epoch 68   train loss: 2.6252  acc: 0.9654   val loss: 4.2829  acc: 0.3880   test loss: 4.3007  acc: 0.3910
epoch 69   train loss: 2.6249  acc: 0.9680   val loss: 4.2825  acc: 0.3865   test loss: 4.3000  acc: 0.3985
epoch 70   train loss: 2.6246  acc: 0.9649   val loss: 4.2818  acc: 0.4105   test loss: 4.2991  acc: 0.4060
epoch 71   train loss: 2.6243  acc: 0.9649   val loss: 4.2815  acc: 0.3865   test loss: 4.2988  acc: 0.4376
epoch 72   train loss: 2.6240  acc: 0.9644   val loss: 4.2814  acc: 0.4150   test loss: 4.2988  acc: 0.4226
epoch 73   train loss: 2.6239  acc: 0.9649   val loss: 4.2809  acc: 0.4165   test loss: 4.2985  acc: 0.4165
epoch 74   train loss: 2.6237  acc: 0.9654   val loss: 4.2813  acc: 0.4015   test loss: 4.2990  acc: 0.4015
epoch 75   train loss: 2.6234  acc: 0.9649   val loss: 4.2811  acc: 0.4015   test loss: 4.2988  acc: 0.4075
epoch 76   train loss: 2.6231  acc: 0.9670   val loss: 4.2816  acc: 0.4015   test loss: 4.2991  acc: 0.3910
epoch 77   train loss: 2.6227  acc: 0.9654   val loss: 4.2814  acc: 0.3940   test loss: 4.2989  acc: 0.4000
epoch 78   train loss: 2.6221  acc: 0.9654   val loss: 4.2816  acc: 0.4060   test loss: 4.2991  acc: 0.4015
epoch 79   train loss: 2.6218  acc: 0.9670   val loss: 4.2822  acc: 0.4090   test loss: 4.2997  acc: 0.4105
epoch 80   train loss: 2.6214  acc: 0.9680   val loss: 4.2823  acc: 0.4015   test loss: 4.3000  acc: 0.4241
epoch 81   train loss: 2.6210  acc: 0.9685   val loss: 4.2829  acc: 0.4180   test loss: 4.3005  acc: 0.4195
epoch 82   train loss: 2.6206  acc: 0.9685   val loss: 4.2825  acc: 0.4045   test loss: 4.3000  acc: 0.4165
epoch 83   train loss: 2.6203  acc: 0.9690   val loss: 4.2829  acc: 0.4180   test loss: 4.3003  acc: 0.4105
epoch 84   train loss: 2.6199  acc: 0.9690   val loss: 4.2833  acc: 0.4000   test loss: 4.3008  acc: 0.3880
epoch 85   train loss: 2.6195  acc: 0.9695   val loss: 4.2843  acc: 0.3880   test loss: 4.3018  acc: 0.3970
epoch 86   train loss: 2.6193  acc: 0.9690   val loss: 4.2848  acc: 0.3880   test loss: 4.3024  acc: 0.3895
epoch 87   train loss: 2.6191  acc: 0.9690   val loss: 4.2843  acc: 0.3895   test loss: 4.3020  acc: 0.4000
epoch 88   train loss: 2.6190  acc: 0.9690   val loss: 4.2838  acc: 0.4105   test loss: 4.3015  acc: 0.4256
epoch 89   train loss: 2.6189  acc: 0.9690   val loss: 4.2836  acc: 0.4165   test loss: 4.3012  acc: 0.4226
epoch 90   train loss: 2.6188  acc: 0.9695   val loss: 4.2843  acc: 0.4075   test loss: 4.3018  acc: 0.4195
epoch 91   train loss: 2.6188  acc: 0.9690   val loss: 4.2847  acc: 0.4135   test loss: 4.3022  acc: 0.4211
epoch 92   train loss: 2.6188  acc: 0.9705   val loss: 4.2855  acc: 0.3835   test loss: 4.3029  acc: 0.3865
epoch 93   train loss: 2.6189  acc: 0.9680   val loss: 4.2846  acc: 0.3925   test loss: 4.3021  acc: 0.3925
epoch 94   train loss: 2.6190  acc: 0.9710   val loss: 4.2848  acc: 0.4015   test loss: 4.3024  acc: 0.3910
epoch 95   train loss: 2.6191  acc: 0.9680   val loss: 4.2843  acc: 0.3925   test loss: 4.3019  acc: 0.3925
epoch 96   train loss: 2.6192  acc: 0.9715   val loss: 4.2848  acc: 0.4135   test loss: 4.3024  acc: 0.4165
epoch 97   train loss: 2.6191  acc: 0.9680   val loss: 4.2844  acc: 0.4105   test loss: 4.3021  acc: 0.4226
epoch 98   train loss: 2.6189  acc: 0.9715   val loss: 4.2846  acc: 0.4090   test loss: 4.3022  acc: 0.4165
epoch 99   train loss: 2.6185  acc: 0.9680   val loss: 4.2838  acc: 0.4180   test loss: 4.3013  acc: 0.4286
epoch 100   train loss: 2.6180  acc: 0.9700   val loss: 4.2840  acc: 0.3940   test loss: 4.3014  acc: 0.4060
epoch 101   train loss: 2.6177  acc: 0.9695   val loss: 4.2841  acc: 0.3910   test loss: 4.3016  acc: 0.3940
epoch 102   train loss: 2.6175  acc: 0.9695   val loss: 4.2839  acc: 0.3805   test loss: 4.3015  acc: 0.3985
epoch 103   train loss: 2.6176  acc: 0.9705   val loss: 4.2842  acc: 0.3955   test loss: 4.3019  acc: 0.3880
epoch 104   train loss: 2.6176  acc: 0.9690   val loss: 4.2835  acc: 0.4075   test loss: 4.3012  acc: 0.4211
epoch 105   train loss: 2.6176  acc: 0.9720   val loss: 4.2838  acc: 0.4195   test loss: 4.3014  acc: 0.4286
epoch 106   train loss: 2.6175  acc: 0.9690   val loss: 4.2835  acc: 0.4256   test loss: 4.3010  acc: 0.4316
epoch 107   train loss: 2.6173  acc: 0.9715   val loss: 4.2837  acc: 0.3880   test loss: 4.3011  acc: 0.4211
epoch 108   train loss: 2.6169  acc: 0.9700   val loss: 4.2837  acc: 0.4000   test loss: 4.3011  acc: 0.4030
epoch 109   train loss: 2.6166  acc: 0.9695   val loss: 4.2833  acc: 0.3744   test loss: 4.3009  acc: 0.3850
epoch 110   train loss: 2.6164  acc: 0.9700   val loss: 4.2833  acc: 0.3910   test loss: 4.3009  acc: 0.3895
epoch 111   train loss: 2.6164  acc: 0.9700   val loss: 4.2831  acc: 0.4271   test loss: 4.3008  acc: 0.3970
epoch 112   train loss: 2.6163  acc: 0.9710   val loss: 4.2835  acc: 0.4195   test loss: 4.3011  acc: 0.4346
epoch 113   train loss: 2.6162  acc: 0.9700   val loss: 4.2835  acc: 0.4361   test loss: 4.3011  acc: 0.4301
epoch 114   train loss: 2.6162  acc: 0.9715   val loss: 4.2836  acc: 0.3970   test loss: 4.3011  acc: 0.4105
epoch 115   train loss: 2.6162  acc: 0.9685   val loss: 4.2832  acc: 0.3714   test loss: 4.3007  acc: 0.4135
epoch 116   train loss: 2.6161  acc: 0.9725   val loss: 4.2834  acc: 0.3774   test loss: 4.3009  acc: 0.3865
epoch 117   train loss: 2.6160  acc: 0.9690   val loss: 4.2835  acc: 0.3880   test loss: 4.3011  acc: 0.3805
epoch 118   train loss: 2.6159  acc: 0.9725   val loss: 4.2841  acc: 0.4090   test loss: 4.3018  acc: 0.3985
